City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,Chuy,UY,-33.6971,-53.4616,69.31,89,5,15.28,clear sky
167,Kailua,US,21.4022,-157.7394,85.98,66,40,10.36,scattered clouds
168,Khor,RU,47.8861,134.9464,-4.04,83,87,17.45,overcast clouds
169,Mareeba,AU,-17.0,145.4333,74.44,92,100,2.28,overcast clouds
170,Santa Rosa,PH,14.3122,121.1114,79.09,96,99,12.01,moderate rain
171,Katima Mulilo,NA,-17.5,24.2667,71.06,59,32,4.94,scattered clouds
172,Nakamura,JP,32.9833,132.9333,47.08,63,87,5.41,overcast clouds
173,Bengkulu,ID,-3.8004,102.2655,75.4,82,93,2.59,overcast clouds
174,Vallenar,CL,-28.5708,-70.7581,66.92,66,0,4.5,clear sky
175,Christchurch,NZ,-43.5333,172.6333,61.95,57,75,3.44,broken clouds
176,Muriti,TZ,-1.9833,32.9167,72.36,68,100,1.21,light rain
177,Tiksi,RU,71.6872,128.8694,-11.16,99,100,14.65,overcast clouds
178,Adrar,MR,20.5022,-10.0711,65.19,21,42,9.04,scattered clouds
179,Atar,MR,20.5169,-13.0499,70.18,17,6,7.56,clear sky
180,Airai,TL,-8.9266,125.4092,67.71,77,98,1.32,overcast clouds
181,Kaitangata,NZ,-46.2817,169.8464,55.76,70,36,11.83,scattered clouds
182,Indian Head,US,38.6001,-77.1622,55.56,32,0,18.41,clear sky
183,Viedma,AR,-40.8135,-62.9967,58.37,56,68,13.29,broken clouds
184,Oyama,JP,36.3,139.8,48.02,65,100,6.46,overcast clouds
185,Noumea,NC,-22.2763,166.4572,89.58,99,66,9.17,broken clouds
186,Magistralnyy,RU,56.1725,107.4458,-0.29,94,100,5.03,light snow
187,Manokwari,ID,-0.8667,134.0833,80.55,76,100,1.01,overcast clouds
188,Tessalit,ML,20.1986,1.0114,69.19,20,34,6.78,scattered clouds
189,Siyabuswa,ZA,-25.1132,29.0445,67.42,45,0,6.96,clear sky
190,Sao Filipe,CV,14.8961,-24.4956,75.6,64,75,8.46,broken clouds
191,Gigmoto,PH,13.7796,124.39,81.19,85,86,14.9,overcast clouds
192,Tautira,PF,-17.7333,-149.15,78.69,80,36,11.83,light rain
193,Nouadhibou,MR,20.931,-17.0347,64.67,76,0,16.33,clear sky
194,Deputatskiy,RU,69.3,139.9,-14.12,99,100,3.6,light snow
195,Dioknisi,GE,41.6293,42.3917,41.23,89,46,4.65,scattered clouds
196,New Norfolk,AU,-42.7826,147.0587,58.71,38,7,2.68,clear sky
197,Talcahuano,CL,-36.7167,-73.1167,64.08,52,0,14.97,clear sky
198,Bontang,ID,0.1333,117.5,78.4,83,97,4.85,overcast clouds
199,Kalevala,RU,65.2,31.1667,25.12,97,100,4.16,light snow
200,Saint-Pierre,RE,-21.3393,55.4781,74.88,64,75,5.75,broken clouds
201,Marzuq,YE,14.4,46.4667,60.49,69,0,1.88,clear sky
202,Nome,US,64.5011,-165.4064,26.67,74,0,10.36,clear sky
203,Alice Springs,AU,-23.7,133.8833,76.55,23,0,8.05,clear sky
204,Comodoro Rivadavia,AR,-45.8667,-67.5,60.66,44,0,24.16,clear sky
205,Santa Lucia,ES,27.9117,-15.5407,60.12,68,40,6.91,scattered clouds
206,Nanortalik,GL,60.1432,-45.2371,28.26,78,99,34.67,overcast clouds
207,Wanning,CN,18.8003,110.3967,75.4,91,97,15.14,light rain
208,Arcachon,FR,44.5875,-1.0519,41.32,100,0,5.75,clear sky
209,Mecca,SA,21.4267,39.8261,77.13,73,22,2.82,few clouds
210,Verkh-Usugli,RU,52.7,115.1667,-15.77,94,60,3.2,broken clouds
211,San Rafael,AR,-34.6177,-68.3301,73.33,32,34,17.2,scattered clouds
212,Omsukchan,RU,62.5333,155.8,2.35,97,100,4.97,light snow
213,El Estor,GT,15.5333,-89.35,75.94,76,56,2.84,broken clouds
214,Codrington,AU,-38.2667,141.9667,61.36,72,91,10.78,overcast clouds
215,Dzerzhinsk,RU,56.2389,43.4631,1.22,85,56,0.0,mist
216,Salalah,OM,17.0151,54.0924,75.29,78,20,4.61,few clouds
217,Baton Rouge,US,30.4508,-91.1545,60.66,49,0,9.22,clear sky
